Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Knockout Round,19811
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Semifinals,19812
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Upper Final,19813
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Grand Final,19814
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Round 1,19816
Champions Tour 2023: EMEA Last Chance Qualifier,1659,Playoffs,3147,Lower Final,19817
Champions Tour 2023: EMEA Last Chance Qualifier,1659,All Stages,,All Match Types,
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Round 1,19858
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Quarterfinals,19859
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Semifinals,19860
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Upper Final,19861
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Round 1,19862
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Lower Final,19863
Champions Tour 2023: Pacific Last Chance Qualifier,1660,Main Event,3148,Grand Final,19864
Champions Tour 2023: Pacific Last Chance Qualifier,1660,All Stages,,All Match Types,
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Round 1,19693
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Quarterfinals,19694
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Semifinals,19695
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Upper Final,19696
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Grand Final,19697
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Round 1,19698
Champions Tour 2023: Americas Last Chance Qualifier,1658,Main Event,3146,Lower Final,19699
Champions Tour 2023: Americas Last Chance Qualifier,1658,All Stages,,All Match Types,
Valorant Champions 2023,1657,Playoffs,3264,Upper Quarterfinals,20180
Valorant Champions 2023,1657,Playoffs,3264,Upper Semifinals,20181
Valorant Champions 2023,1657,Playoffs,3264,Upper Final,20182
Valorant Champions 2023,1657,Playoffs,3264,Grand Final,20183
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 1,20184
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 2,20185
Valorant Champions 2023,1657,Playoffs,3264,Lower Round 3,20186
Valorant Champions 2023,1657,Playoffs,3264,Lower Final,20187
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),20118
Valorant Champions 2023,1657,Group Stage,3145,Winner's (A),20119
Valorant Champions 2023,1657,Group Stage,3145,Elimination (A),20120
Valorant Champions 2023,1657,Group Stage,3145,Decider (A),20123
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),20129
Valorant Champions 2023,1657,Group Stage,3145,Winner's (B),20130
Valorant Champions 2023,1657,Group Stage,3145,Elimination (B),20131
Valorant Champions 2023,1657,Group Stage,3145,Decider (B),20132
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),20133
Valorant Champions 2023,1657,Group Stage,3145,Winner's (C),20134
Valorant Champions 2023,1657,Group Stage,3145,Elimination (C),20135
Valorant Champions 2023,1657,Group Stage,3145,Decider (C),20136
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),20138
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),20139
Valorant Champions 2023,1657,Group Stage,3145,Elimination (D),20141
Valorant Champions 2023,1657,Group Stage,3145,Decider (D),20142
Valorant Champions 2023,1657,All Stages,,All Match Types,
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Upper Quarterfinals,19825
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Upper Semifinals,19826
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Upper Final,19827
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Grand Final,19828
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Lower Round 1,19829
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Lower Round 2,19830
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Lower Round 3,19831
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Lower Final,19832
Champions Tour 2023: Champions China Qualifier,1664,Playoffs,3156,Knockout Round,19833
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 1,19282
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 2,19463
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 3,19551
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 4,19571
Champions Tour 2023: Champions China Qualifier,1664,Preliminary Stage,3155,Round 5,19572
Champions Tour 2023: Champions China Qualifier,1664,All Stages,,All Match Types,
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Upper Quarterfinals,19435
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Upper Semifinals,19436
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Upper Final,19437
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Grand Final,19438
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Lower Round 1,19439
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Lower Round 2,19440
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Lower Round 3,19441
Champions Tour 2023: Masters Tokyo,1494,Playoffs,3154,Lower Final,19442
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Opening (A),19426
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Winner's (A),19427
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Elimination (A),19428
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Decider (A),19429
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Opening (B),19430
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Winner's (B),19431
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Elimination (B),19432
Champions Tour 2023: Masters Tokyo,1494,Group Stage,2857,Decider (B),19433
Champions Tour 2023: Masters Tokyo,1494,All Stages,,All Match Types,
Champions Tour 2023: Americas League,1189,Playoffs,2867,Upper Round 1,17711
Champions Tour 2023: Americas League,1189,Playoffs,2867,Upper Semifinals,17712
Champions Tour 2023: Americas League,1189,Playoffs,2867,Upper Final,17713
Champions Tour 2023: Americas League,1189,Playoffs,2867,Grand Final,17714
Champions Tour 2023: Americas League,1189,Playoffs,2867,Lower Round 1,17715
Champions Tour 2023: Americas League,1189,Playoffs,2867,Lower Round 2,17716
Champions Tour 2023: Americas League,1189,Playoffs,2867,Lower Final,17717
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 1,17107
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 2,17108
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 3,17109
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 4,17110
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 5,17111
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 6,17112
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 7,17113
Champions Tour 2023: Americas League,1189,Regular Season,2315,Week 8,17137
Champions Tour 2023: Americas League,1189,All Stages,,All Match Types,
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Upper Round 1,19021
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Upper Semifinals,19022
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Upper Final,19023
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Grand Final,19024
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Lower Round 1,19025
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Lower Round 2,19026
Champions Tour 2023: EMEA League,1190,Playoffs,2858,Lower Final,19027
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 1,16813
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 2,17127
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 3,17128
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 4,17129
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 5,17130
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 6,17131
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 7,17132
Champions Tour 2023: EMEA League,1190,Regular Season,2314,Week 8,17133
Champions Tour 2023: EMEA League,1190,All Stages,,All Match Types,
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Upper Round 1,17152
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Upper Semifinals,17153
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Upper Final,17154
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Lower Round 1,17155
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Lower Round 2,17156
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Lower Final,17157
Champions Tour 2023: Pacific League,1191,Playoffs,2872,Grand Final,17158
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 1,17159
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 2,17160
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 3,17161
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 4,17162
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 5,17163
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 6,17164
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 7,17165
Champions Tour 2023: Pacific League,1191,League Play,2316,Week 8,17166
Champions Tour 2023: Pacific League,1191,All Stages,,All Match Types,
Champions Tour 2023: Lock-In Sao Paulo,1188,Playoffs,2756,Semifinals,16338
Champions Tour 2023: Lock-In Sao Paulo,1188,Playoffs,2756,Grand Final,16339
Champions Tour 2023: Lock-In Sao Paulo,1188,Bracket Stage,2317,Alpha - Round of 16,16332
Champions Tour 2023: Lock-In Sao Paulo,1188,Bracket Stage,2317,Alpha - Quarterfinals,16333
Champions Tour 2023: Lock-In Sao Paulo,1188,Bracket Stage,2317,Alpha - Semifinals,16334
Champions Tour 2023: Lock-In Sao Paulo,1188,Bracket Stage,2317,Omega - Round of 16,16335
Champions Tour 2023: Lock-In Sao Paulo,1188,Bracket Stage,2317,Omega - Quarterfinals,16336
Champions Tour 2023: Lock-In Sao Paulo,1188,Bracket Stage,2317,Omega - Semifinals,16337
Champions Tour 2023: Lock-In Sao Paulo,1188,All Stages,,All Match Types,
